Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
65539770,07/13/2025 02:49:10 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,,,,,,,,,,,,In Progress,,,,0 Unspecified,,Unspecified,1012951,241605,ONLINE,Unspecified,Unspecified,,,,,,,,40.8297787311541,-73.89628930633681,"(40.8297787311541, -73.89628930633681)"
65538517,07/13/2025 02:49:06 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,,,,,,,,,,,,In Progress,,,,0 Unspecified,,Unspecified,1006628,184913,MOBILE,Unspecified,Unspecified,,,,,,,,40.67419193806766,-73.91932603551578,"(40.67419193806766, -73.91932603551578)"
65536064,07/13/2025 02:48:47 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10453,190 WEST BURNSIDE AVENUE,WEST BURNSIDE AVENUE,PHELAN PLACE,OSBORNE PLACE,PHELAN PLACE,OSBORNE PLACE,ADDRESS,BRONX,WEST BURNSIDE AVENUE,,In Progress,,,,05 BRONX,2028790170,BRONX,1007493,250591,PHONE,Unspecified,BRONX,Car,,,,,,,40.85445871431665,-73.91598056093478,"(40.85445871431665, -73.91598056093478)"
65536026,07/13/2025 02:47:55 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,1931 ANDREWS AVENUE,ANDREWS AVENUE,WEST BURNSIDE AVENUE,WEST  179 STREET,WEST BURNSIDE AVENUE,WEST  179 STREET,ADDRESS,BRONX,ANDREWS AVENUE,,In Progress,,,,05 BRONX,2032210077,BRONX,1008251,250672,MOBILE,Unspecified,BRONX,,,,,,,,40.85467900701651,-73.91324023333817,"(40.85467900701651, -73.91324023333817)"
65544634,07/13/2025 02:47:45 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,1140 SAINT JOHNS PLACE,SAINT JOHNS PLACE,HAMPTON PLACE,ALBANY AVENUE,HAMPTON PLACE,ALBANY AVENUE,ADDRESS,BROOKLYN,ST JOHNS PLACE,,In Progress,,,,08 BROOKLYN,3012580026,BROOKLYN,1000783,183777,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67108671928291,-73.9404003721513,"(40.67108671928291, -73.9404003721513)"
65536038,07/13/2025 02:47:14 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10017,3 AVENUE,3 AVENUE,3 AVENUE,EAST   45 STREET,3 AVENUE,EAST   45 STREET,INTERSECTION,,,,In Progress,,,,06 MANHATTAN,,MANHATTAN,991718,213504,PHONE,Unspecified,MANHATTAN,,,,,,,,40.75269253876219,-73.97304571186659,"(40.75269253876219, -73.97304571186659)"
65542185,07/13/2025 02:47:13 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10468,2730 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST KINGSBRIDGE ROAD,WEST  195 STREET,WEST KINGSBRIDGE ROAD,WEST  195 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,,In Progress,,,,08 BRONX,2032480150,BRONX,1011138,256394,PHONE,Unspecified,BRONX,,,,,,,,40.87037583951205,-73.90278124333975,"(40.87037583951205, -73.90278124333975)"
65536039,07/13/2025 02:47:07 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,105 AVENUE B,AVENUE B,EAST    6 STREET,EAST    7 STREET,EAST    6 STREET,EAST    7 STREET,ADDRESS,NEW YORK,AVENUE B,,In Progress,,,,03 MANHATTAN,1003890007,MANHATTAN,989423,203371,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72488160768977,-73.98133685816762,"(40.72488160768977, -73.98133685816762)"
65544519,07/13/2025 02:47:01 AM,,NYPD,New York City Police Department,Illegal Fireworks,N/A,Park/Playground,10453,34 EAST  181 STREET,EAST  181 STREET,JEROME AVENUE,WALTON AVENUE,JEROME AVENUE,WALTON AVENUE,ADDRESS,BRONX,EAST  181 STREET,,In Progress,,,,05 BRONX,,BRONX,1010519,250979,ONLINE,Unspecified,BRONX,,,,,,,,40.85551517316252,-73.90504058011085,"(40.85551517316252, -73.90504058011085)"
65540933,07/13/2025 02:46:57 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11226,3217 NEWKIRK AVENUE,NEWKIRK AVENUE,EAST   32 STREET,NEW YORK AVENUE,EAST   32 STREET,NEW YORK AVENUE,ADDRESS,BROOKLYN,NEWKIRK AVENUE,,In Progress,,,,17 BROOKLYN,3049660021,BROOKLYN,999167,172497,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.64012846463,-73.94625082171862,"(40.64012846463, -73.94625082171862)"
